,L1,L2,iter,outliers,sigma,nre_corr,nre_uncorr,max,min,close_to_zero,time
0,0,1,0,0,0,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.03654050827026367
1,0,1,0,0,4,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.029076814651489258
2,0,1,0,0,12,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.031919002532958984
3,0,1,0,0,20,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.03690457344055176
4,0,1,0,0,28,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.022908926010131836
5,0,1,0,1125,0,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.025799989700317383
6,0,1,0,1125,4,0.9689136959248051,0.9755197958292794,34.27187142404367,-23.550088695791136,1,0.023700952529907227
7,0,1,0,1125,12,0.9648233130581446,1.0065477291584377,40.46798076262267,-56.94137991177747,1,0.02598118782043457
8,0,1,0,1125,20,0.9593165050139596,1.0722320760901367,70.86506674438277,-68.57043757633464,0,0.026915311813354492
9,0,1,0,1125,28,0.9503256434839253,1.2158852757855594,106.89289363876858,-131.83531696504483,1,0.023664236068725586
10,0,1,0,2250,0,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.02295398712158203
11,0,1,0,2250,4,0.9700340838010433,0.9808502083770114,22.620954997531904,-31.91761915322129,0,0.026224851608276367
12,0,1,0,2250,12,0.9662914520003781,1.0412441807511135,47.299868827563344,-85.46835829609061,0,0.029915571212768555
13,0,1,0,2250,20,0.9629955223793635,1.1407593551855448,57.92665881639964,-107.92363410513954,1,0.028663158416748047
14,0,1,0,2250,28,0.9624020628584812,1.2766467682421299,93.89410047316292,-123.65153553055293,1,0.028081178665161133
15,0,1,0,3375,0,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.026854991912841797
16,0,1,0,3375,4,0.9683812194027751,0.9801315145708306,35.00018795784927,-25.581727042673165,0,0.024160385131835938
17,0,1,0,3375,12,0.9644590394550291,1.06218627096565,62.47141516346539,-67.28580228181701,0,0.02871417999267578
18,0,1,0,3375,20,0.9648684872861958,1.1930039193301931,98.55470802169815,-92.33331440689496,1,0.02488565444946289
19,0,1,0,3375,28,0.9648253741294177,1.3801772356535835,142.03624370209982,-164.04326741964024,0,0.0261385440826416
20,0,1,0,4500,0,0.9689294125013319,0.9722708315543115,21.959325463654586,-43.63113864135307,0,0.025730371475219727
21,0,1,0,4500,4,0.9698246973846248,0.986301933248002,45.89734535175882,-30.468361990771243,0,0.025557518005371094
22,0,1,0,4500,12,0.9657420525748651,1.0901626554136248,45.97228542622618,-95.32622769838822,0,0.017302989959716797
23,0,1,0,4500,20,0.9635001736167874,1.2662791155734572,86.12472637408959,-102.25787056531007,1,0.024637460708618164
24,0,1,0,4500,28,0.9645817315877377,1.4969438970322146,133.80887958918814,-138.67253215908326,1,0.021024465560913086
