,L1,L2,iter,outliers,sigma,nre_corr,nre_uncorr,max,min,close_to_zero,time
0,0,1,0,0,0,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.050748586654663086
1,0,1,0,0,4,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.03878474235534668
2,0,1,0,0,12,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.04490351676940918
3,0,1,0,0,20,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.03853344917297363
4,0,1,0,0,28,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.04052925109863281
5,0,1,0,1125,0,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.04169416427612305
6,0,1,0,1125,4,0.933843149648497,0.9488831509135972,36.128692704493,-39.446878958794464,1,0.04453849792480469
7,0,1,0,1125,12,0.9311006554523963,1.0036907224484752,57.206562151370186,-50.92104158102106,3,0.04414701461791992
8,0,1,0,1125,20,0.9202133889660368,1.1436199559395315,89.57214565808992,-77.4922103649735,2,0.04395246505737305
9,0,1,0,1125,28,0.9155916508096856,1.292692858483016,157.1227463603142,-210.89673253776402,2,0.042696475982666016
10,0,1,0,2250,0,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.04367375373840332
11,0,1,0,2250,4,0.9323490535599769,0.9532476150744759,49.815778933606786,-40.045928851748535,1,0.047011613845825195
12,0,1,0,2250,12,0.9245380834658408,1.0801603208350299,44.05988808471451,-88.26598600041278,2,0.0494387149810791
13,0,1,0,2250,20,0.9241682702481,1.2510088272784776,95.85019051831857,-80.41156380397761,1,0.04326963424682617
14,0,1,0,2250,28,0.9179234081788163,1.525000765940386,191.4787938693432,-153.8671819718283,1,0.04677104949951172
15,0,1,0,3375,0,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.0469357967376709
16,0,1,0,3375,4,0.9306060323121693,0.9574967469531814,40.11647900498648,-45.947915468432406,0,0.04652905464172363
17,0,1,0,3375,12,0.9312142537733525,1.1209278518012684,79.4413490693155,-75.26687857579331,2,0.045623779296875
18,0,1,0,3375,20,0.92568992483755,1.3862695947382393,102.20358409797731,-189.75011198379246,3,0.03727316856384277
19,0,1,0,3375,28,0.9255059690787765,1.6724950581021267,215.59053058507178,-247.68089583789373,2,0.03784966468811035
20,0,1,0,4500,0,0.9327601183499683,0.940350425740196,46.78264273071175,-43.86084550829783,1,0.04446125030517578
21,0,1,0,4500,4,0.9328167270970108,0.966457468067764,53.8897099194993,-37.31401233991457,4,0.04727649688720703
22,0,1,0,4500,12,0.9280464154474305,1.165908972030171,84.112834242565,-83.94489926606288,1,0.05011343955993652
23,0,1,0,4500,20,0.9267660149510918,1.488960453552851,114.49187665151638,-164.73375238033765,3,0.039623260498046875
24,0,1,0,4500,28,0.9253305037708653,1.8421964694446213,147.53252231005146,-221.99120643717947,1,0.04117131233215332
