,L1,L2,iter,outliers,sigma,nre_corr,nre_uncorr,max,min,close_to_zero,time
0,1,0,0,0,0,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,64.96944093704224
1,1,0,0,0,4,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,66.64886379241943
2,1,0,0,0,12,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,68.84386348724365
3,1,0,0,0,20,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,69.80774736404419
4,1,0,0,0,28,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,67.18781900405884
5,1,0,0,1125,0,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,72.48657846450806
6,1,0,0,1125,4,1.008526786535982,1.0244473800653735,5.612352892390754,-4.577189253292445,180,81.23096513748169
7,1,0,0,1125,12,1.0152018207219977,1.0463072308661232,16.744555478618988,-8.249542342547047,186,74.50291657447815
8,1,0,0,1125,20,0.9842418046832236,1.0106481042587665,279.531220551443,-8.791611306610578,149,76.23384094238281
9,1,0,0,1125,28,0.9821787322179948,1.0287924925697967,354.3655463218983,-6.370135136243732,131,63.92026972770691
10,1,0,0,2250,0,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,67.42234873771667
11,1,0,0,2250,4,1.0262223459169784,1.0503217858553955,4.842401662358396,-6.064848792431575,176,71.92885875701904
12,1,0,0,2250,12,1.0027880720528506,1.0632616445928262,17.62274301998582,-12.769716937346548,171,71.78542256355286
13,1,0,0,2250,20,0.9927208642196197,1.0848432832076504,45.9798348988885,-21.83329926690624,178,84.78387999534607
14,1,0,0,2250,28,0.9912164708413223,1.1024087923403265,24.597424079404256,-11.476172297401286,163,63.926841735839844
15,1,0,0,3375,0,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,73.73860144615173
16,1,0,0,3375,4,1.0146264408046042,1.0440887108397179,12.553949878210036,-13.71668315932215,184,68.93662905693054
17,1,0,0,3375,12,0.981100627292588,1.0536056507283544,277.44957374551683,-9.995320482337677,143,120.84254336357117
18,1,0,0,3375,20,0.9777981720907538,1.119338616171882,429.0611510565167,-6.692817227638578,135,53.577258348464966
19,1,0,0,3375,28,0.9813987559077703,1.2187198514683195,27.165834667809136,-24.346214771898033,172,59.181723833084106
20,1,0,0,4500,0,1.0213703655147863,1.0330667393003932,5.374851209449318,-5.912631240345981,189,74.8386013507843
21,1,0,0,4500,4,1.0203890874842727,1.0578761332966935,18.30707096035636,-12.618276123551423,186,71.5210747718811
22,1,0,0,4500,12,0.9983151572471712,1.0991769819787867,22.0440197419894,-12.678158876364336,185,93.7155966758728
23,1,0,0,4500,20,0.9885216960607761,1.1328836310350614,54.769069314910574,-42.49491893844132,177,70.98865842819214
24,1,0,0,4500,28,0.9843682513363571,1.211064819321984,636.4014970010614,-16.829129398352105,185,54.684983015060425
